ENCODED_MCT,dtw_cluster,HPSN_MCT_ZCD_NM
0495B069FF,1,식료품
04A4FBD34D,1,한식-단품요리일반
04BACBFB49,1,백반/가정식
04F03995B9,0,한식-육류/고기
050581F0EE,1,요리주점
0507C6C859,3,샌드위치/토스트
050A4E0A6D,3,한식-찌개/전골
051EE5224E,1,호프/맥주
052D57B40B,0,피자
052FDFE33E,2,샌드위치/토스트
05354D332D,2,한식-단품요리일반
053AF8AE28,3,한식-국수/만두
055544325C,2,베이커리
055A2785B9,2,커피전문점
055EDDDD01,0,한식-단품요리일반
056644D0B0,3,백반/가정식
0576F5F42A,0,식료품
05870C6994,0,백반/가정식
05992E2BE5,2,중식당
059A6DEC9E,1,백반/가정식
05D0F780F0,1,백반/가정식
05D686D94E,0,식료품
05EE42C739,1,카페
05FEB1D6F5,1,한식-해물/생선
0616E5FFD3,0,양식
0624A8697D,1,축산물
06283FED4E,3,요리주점
064F68DA7E,1,백반/가정식
0667DA4B74,2,양식
066E49F118,1,인삼제품
068FABCF18,2,요리주점
06A87DAA45,1,카페
06C463E9D9,1,식료품
06EB542919,1,떡/한과 제조
07048B6141,1,백반/가정식
072ED18558,2,분식
0732DD7F6A,1,한식-육류/고기
0773FAF52A,1,한식-국밥/설렁탕
0780CB40AB,3,치킨
078E739D39,3,포장마차
07C53B9164,1,주류
07D4C06897,1,축산물
07E06697D9,1,꼬치구이
07E426EE6F,0,한식-단품요리일반
07F3A46C54,3,중식-훠궈/마라탕
0806C51324,2,베이커리
08108678CB,3,축산물
0815A0998B,2,한식-해물/생선
082F14367D,0,중식당
08336C3B85,2,한식-단품요리일반
0840AC0A17,1,백반/가정식
085F6E716F,3,커피전문점
0866C50DAD,1,축산물
086AA2377D,3,분식
08810E1846,3,치킨
088BBA709D,3,한식-국밥/설렁탕
08A6BC229A,2,한식-육류/고기
08A8D396B4,2,카페
08AFA3AAA2,2,일반 유흥주점
08BFC4265D,3,베이커리
08D893CAA8,2,카페
0904E1A37E,2,청과물
090DD25F79,0,중식당
091DB36DAA,2,중식당
092717B584,0,한식-해물/생선
093D848452,3,일식-우동/소바/라면
09544ED347,0,포장마차
095A791091,1,한식-단품요리일반
0961D33241,2,카페
097459D735,3,한식-육류/고기
09801BCCB5,1,백반/가정식
09805F8B6F,1,한식-단품요리일반
098A971F35,2,한식-해물/생선
098BA50B44,3,백반/가정식
098CE4D65F,2,포장마차
099CBF2425,2,한식-단품요리일반
099CE5DB1F,3,한식-육류/고기
09A3BB12CC,1,베이커리
09A5C8DB83,2,카페
09B5A19D91,1,와인바
09D2771DD5,1,축산물
09F834CF4D,0,한식-육류/고기
0A043079E8,0,한식-육류/고기
0A11294210,2,분식
0A14F6BC71,2,백반/가정식
0A1F11604A,2,양식
0A21C8B332,1,일식당
0A249AE8F1,0,요리주점
0A4491652C,3,양식
0A6388B8A5,0,피자
0A969D0884,3,일식당
0AA044D334,0,베이커리
0AAC5CC72A,2,수산물
0ACB1E7718,2,한식뷔페
0ACB344C1B,2,베이커리
0AD65F48B1,2,햄버거
0AD9FBF8D6,0,카페
0AE494A908,1,농산물
0AF7BD60A5,2,카페
0AFA56720B,2,백반/가정식
0B01EED5DC,1,축산물
0B08F64E3F,2,요리주점
0B0F5967E0,1,백반/가정식
0B209E8E8B,1,치킨
0B20C4C788,2,치킨
0B2BB3D26D,1,룸살롱/단란주점
0B36DDFB1B,0,이자카야
0B4FFAC06D,2,한식-육류/고기
0B575BF47C,2,한식-육류/고기
0B5B2332CF,0,한식-해물/생선
0B5E2CA162,2,백반/가정식
0B68902965,0,피자
0B6A827588,2,아이스크림/빙수
0B91BA490B,2,백반/가정식
0BAEC93CDE,2,일식당
0BD65CD437,0,호프/맥주
0BD77C00B4,1,식료품
0BE7C060B5,0,중식당
0BE8ACB0EC,2,피자
0BEDDE7AF8,2,한식-단품요리일반
0BF9751673,2,한식-단품요리일반
0BFA50A379,0,포장마차
0C02E54954,0,커피전문점
0C074FD60A,3,카페
0C1B547B6E,0,커피전문점
0C25C3B746,2,샌드위치/토스트
0C290BC270,2,민속주점
0C52600659,1,건강원
0C579C8DE3,0,한식뷔페
0C5EE2823A,0,농산물
0C67B8EDCF,2,일식-우동/소바/라면
0C71B9E39A,3,한식-찌개/전골
0C73E5FAC6,1,인삼제품
0C8815C811,3,한식-육류/고기
0C8BE8ECAD,1,카페
0C9C887E27,3,커피전문점
0CB94CB82A,1,커피전문점
0CC58A24DF,0,베이커리
0CCC996EB3,3,카페
0CD2370AA8,2,치킨
0CF1A5859F,3,농산물
0CF7026A60,0,일식-덮밥/돈가스
0D2FB82EB4,2,한식-육류/고기
0D30BE35C0,0,한식-육류/고기
0D5913A247,0,한식-육류/고기
0D76004886,1,치킨
0D87E5D527,2,햄버거
0D98347CAA,2,일식당
0DA8A07267,0,인삼제품
0DABCC3BB8,2,백반/가정식
0DBD011FE1,1,축산물
0DE3499749,0,카페
0DF01FA34B,0,한식-육류/고기
0E0486902E,2,한식-단품요리일반
0E15C8A398,1,한식-단품요리일반
0E1F126D2B,3,양식
0E2AE2C4F1,1,백반/가정식
0E33FFCD65,2,분식
0E46A72EBB,2,한식-단품요리일반
0E47B24887,0,카페
0E559E84F4,0,한식-육류/고기
0E5900ADFC,1,호프/맥주
0E614A7B1A,2,카페
0E7F1F5130,1,카페
0E8F0CC5D8,2,한식-단품요리일반
0E8F0F8410,1,축산물
0EC92894F0,2,아이스크림/빙수
0EE4BD7D7A,1,카페
0EED6D3006,3,백반/가정식
0F0676C7F0,2,농산물
0F17B95A3C,2,일식당
0F236D513F,3,햄버거
0F62D2C2CF,2,한식-육류/고기
0F646F50F7,1,카페
0F6B536D3D,1,양식
0FA542A8DB,0,카페
0FAD4CAABE,3,카페
0FDB111E34,3,한식-단품요리일반
1023E7B792,1,요리주점
1025481D02,2,담배
102BD17A37,1,요리주점
10320FAE94,2,양식
103335BDCE,1,한식-냉면
103A5AE48B,1,베이커리
104031A6C2,1,축산물
105CC28499,2,한식-육류/고기
107D13BB20,1,분식
108EC801B1,2,한식-감자탕
1095E71AA8,1,축산물
109684EF6A,0,양식
10BD656C9F,2,치킨
10BF2110CC,0,커피전문점
10D9319CCB,3,카페
10E976D7AB,1,식품 제조
10ED44611E,0,피자
10FA1CC7BC,0,백반/가정식
1109D8FCC5,1,축산물
1112ACEF8D,2,건강원
11191365FD,1,카페
112C9E0C52,3,백반/가정식
115B45FBBE,1,백반/가정식
1164A7B9D5,0,햄버거
1166DE00E7,1,와인바
1184FDF48F,0,축산물
119075288D,3,한식-육류/고기
11917ED05B,1,한식-찌개/전골
119F4FB3E3,2,한식-국밥/설렁탕
11A66B8033,0,한식-육류/고기
11B0AA1C3B,2,한식-단품요리일반
11B32F0E92,1,호프/맥주
11BFFCBE83,3,아이스크림/빙수
11C88CAEC4,1,양식
11DA529896,2,백반/가정식
11E4EE3E27,0,한식-단품요리일반
120283327E,1,카페
123EF86057,0,호프/맥주
125C6AE5AF,3,베이커리
1290AD294E,2,아이스크림/빙수
129842CE2F,0,백반/가정식
129DB16365,3,샌드위치/토스트
12A28908F1,3,카페
12C9656088,2,양식
12E063A8BA,0,중식당
12E149DC7F,2,일식-덮밥/돈가스
12E8C996B1,2,한식-국밥/설렁탕
12F2E42AEC,3,일식당
132078A4FE,1,커피전문점
132DD33068,2,분식
132EC808F2,1,한식-육류/고기
133FADDC35,2,커피전문점
134895DA5B,1,베이커리
1361C9B25C,1,분식
1389DE67CE,1,카페
13920AE06B,0,한식-육류/고기
1395C1AB53,3,이자카야
139B280BA1,2,백반/가정식
139D3C21E3,2,식료품
13A08DED0C,2,백반/가정식
13B170C44E,1,백반/가정식
13BB3CF1BB,1,백반/가정식
13C3C13D99,0,커피전문점
13CF34E13D,2,백반/가정식
13D9737A1D,2,차
13DF93045E,0,한식-육류/고기
13F02B91F6,1,카페
13F380E465,3,양식
1400634946,2,중식당
142D8C5954,1,양식
14575F7112,1,치킨
145A1666B3,0,한식-육류/고기
145BA84596,0,한식-찌개/전골
147235F3A5,1,일식-덮밥/돈가스
147EC9E665,0,식료품
149775709C,1,한식-육류/고기
149A2FAFF2,1,양식
149BA1B7C7,2,샌드위치/토스트
149F54EBF0,0,중식당
14AAC1149B,1,축산물
14AAED5A5C,3,축산물
14B24AF78E,2,햄버거
14DA1400F7,1,건강식품
14DC63223D,0,식료품
14FE0A442F,0,떡/한과 제조
150889572A,1,베이커리
15136D3E9D,0,백반/가정식
151654BA1D,2,한식-해물/생선
151C15F277,1,한식-육류/고기
1521FF7269,1,한식-해물/생선
1527B8DFD5,2,치킨
15312BD018,2,한식-육류/고기
153D5AC634,3,기타세계요리
15418FA4F2,0,한식-육류/고기
1545D071D9,1,한식뷔페
15460DF7A9,2,일반 유흥주점
15467D0BEC,0,백반/가정식
155590DFC1,3,축산물
155685F58E,1,일식-초밥/롤
1581AAB9F5,2,식료품
158A1920D0,2,카페
158EC80184,2,축산물
15B7F02740,2,카페
15CFCB9040,2,카페
15E95AF364,1,피자
15EE2AE836,2,담배
160DDA26E5,2,백반/가정식
161833AB04,0,치킨
16184E93D9,0,축산물
161867AF15,2,베이커리
162B21238D,0,축산물
162D2613BC,1,한식-육류/고기
166A58D2FD,1,아이스크림/빙수
167123A24F,0,치킨
1673EFE7A4,3,한식-찌개/전골
1674C40960,1,한식-육류/고기
1676020CB1,1,카페
1676AF58A8,2,한식-육류/고기
1678DC823A,1,요리주점
167F268F8E,2,카페
169ABB9060,3,한식-육류/고기
16B18D234B,0,일반 유흥주점
16B4B1BB89,2,한식-육류/고기
16C1722BC0,2,양식
16CBDF3A48,2,백반/가정식
16E393FC45,0,한식-육류/고기
16F5C2A5B3,0,커피전문점
16FA1843AE,3,카페
16FF61FF49,0,축산물
170B8F1903,2,중식당
1.71E+17,1,카페
17251C4F10,3,한식-단품요리일반
17725DC7CA,1,떡/한과 제조
1777C724B3,1,치킨
1786026A63,1,백반/가정식
178A3B9A58,1,농산물
17979A7FB4,0,한식-국밥/설렁탕
17B4A44FAF,1,백반/가정식
17B71ACAEE,0,한식-육류/고기
17DAB44CD4,1,한식-해물/생선
17FCA23DD7,0,카페
17FF425166,1,한식-해물/생선
180F6A644D,0,커피전문점
18139EA68D,3,커피전문점
18185E33A8,3,건강식품
1829BF330D,1,반찬
182C5D1799,0,한식-단품요리일반
186BEE7C30,2,양식
186E12F013,2,축산물
187D17CE25,0,베이커리
18822DD6FB,0,건강식품
1890D657AD,1,축산물
18A1E81F1B,1,양식
18AE11C714,0,한식-육류/고기
18FC952F28,1,카페
1900B33A12,1,한식-냉면
19325B3A29,1,햄버거
1938F6377B,3,양식
1958977F7D,2,한식-육류/고기
197C457DEF,2,커피전문점
19AB11C6B4,1,피자
19BD32B8E8,2,베이커리
19C9B789DA,2,양식
19D3456A64,2,일식당
19DC3A560D,0,식품 제조
19DDC941DD,3,한식-육류/고기
19FD619523,2,카페
1A011579F7,2,베이커리
1A018DCAD1,2,도시락
1A185BC72B,1,한식-해물/생선
1A1EC4B50C,1,호프/맥주
1A7712195D,0,한식-육류/고기
1A8BA43A9D,1,양식
1A8C2D30CA,2,한식-단품요리일반
1A95814825,3,일식당
1A9644F28E,1,백반/가정식
1AA954C0A3,2,백반/가정식
1AB3F0C3B0,0,백반/가정식
1ABAFAF53E,1,치킨
1AC1527C9A,1,베이커리
1AC8580FC6,2,치킨
1ACDF59A1A,3,베이커리
1ADFDEE86A,0,치킨
1AE0F9961C,0,커피전문점
1AEC503D19,1,치킨
1AF84D2DC1,3,카페
1AFD192CB4,2,백반/가정식
1B0AE78A30,3,베이커리
1B10962D6B,0,한식-육류/고기
1B13E9E623,3,양식
1B1710772B,1,베이커리
1B2F00A1CC,0,중식당
1B4D60A004,1,식료품
1B554AAC24,0,한식-냉면
1B5F85BD96,3,일식당
1B8A35EA99,1,양식
1BB00863B9,2,농산물
1BC191ACDA,2,동남아/인도음식
1BC90B10EC,0,한식-육류/고기
1BCD8AC994,3,카페
1BE17A9B6B,3,베이커리
1BE8E3CE79,2,일반 유흥주점
1C0AE3E10C,3,카페
1C0E3D3E9C,2,분식
1C1F73D604,0,양식
1C3EE116AE,1,룸살롱/단란주점
1C4665B740,1,한식-육류/고기
1C55BF6FB8,2,치킨
1C69DD5AFC,0,커피전문점
1C7B1712C9,2,한식-단품요리일반
1C943E0E39,0,축산물
1C9BB3C08A,2,한식-육류/고기
1CA14FB122,0,한식-해물/생선
1CA7D76A49,1,식료품
1CAA6D7F95,1,양식
1CB111F32B,1,농산물
1CC86C2EB2,2,카페
1CCF1F16FD,2,커피전문점
1CE1551AF3,2,와인바
1CEA3BFC5B,1,한식-단품요리일반
1CFE4CFBFB,1,양식
1D20FA334E,2,요리주점
1D3FAC9886,0,요리주점
1D47B2E51D,1,한식-육류/고기
1D76CBF64B,0,양식
1D97BD1F6F,0,한식-단품요리일반
1D9B20B1B9,0,커피전문점
1DBC834628,3,커피전문점
1DDB44FF35,2,카페
1DE2A5E40D,1,동남아/인도음식
1DEEB5568D,3,한정식
1DF52E7C5F,0,아이스크림/빙수
1DFD18A8D0,0,치킨
1E00B3CC15,2,한식-단품요리일반
1E0C8CD39A,1,한식-단품요리일반
1E10EECF86,0,축산물
1E49E0A26C,0,한식-육류/고기
1E4D38A262,0,치킨
1E6037D02E,1,분식
1E6E98E3FB,0,샌드위치/토스트
1E745D32BC,1,중식당
1E7A13BB3E,1,청과물
1E8F8916F6,3,카페
1E9761FB09,2,한식-단품요리일반
1EADD2188F,0,와인바
1EAFF3E9E0,1,한식-육류/고기
1EC413BB05,1,축산물
1EC6CCBA67,0,한식-단품요리일반
1ECD387AAF,0,식료품
1ED630331D,1,한식-육류/고기
1EE63C2F5D,1,호프/맥주
1F01798D03,1,분식
1F0239CF1F,1,건강식품
1F08E8119D,0,청과물
1F0AADBBB8,2,일식-샤브샤브
1F0AAE3EBE,2,일식-덮밥/돈가스
1F2F62794C,1,한식-국수/만두
1F369B9364,2,백반/가정식
1F4203EA83,2,카페
1F43B61BB2,1,호프/맥주
1F514EF208,0,일식당
1F59865E54,3,한식-국수/만두
1F5C564B04,2,반찬
1F75656163,2,한식-국밥/설렁탕
1F7D63C933,2,이자카야
1F7ECE7D49,0,한식-단품요리일반
1F803A0080,2,백반/가정식
1F8450ED67,3,축산물
1F9B203919,1,양식
1FAF18BB8F,2,커피전문점
1FD34CB47A,1,축산물
1FE0562759,3,베이커리
1FF980E1D6,0,요리주점
20186EA812,2,샌드위치/토스트
201D6EE851,1,한식-육류/고기
202266AAE4,0,한식-단품요리일반
202F736EBC,2,백반/가정식
203E53DC61,2,백반/가정식
203FCB7DD9,0,샌드위치/토스트
203FEED90F,3,한식-단품요리일반
20540DA43D,0,베이커리
208B37B8E4,1,백반/가정식
209ED3E24F,1,한식-단품요리일반
20A41DB343,0,일식당
20AFB06A43,1,한식-단품요리일반
20B0361789,2,한식-국밥/설렁탕
20B38FBA58,1,양식
20B4D65D66,3,베이커리
20B5CCDB99,1,축산물
20BEAD80DD,2,한식-단품요리일반
20BF89EDFA,2,한식-해물/생선
20CD5C4AB7,1,카페
20E4760A74,0,백반/가정식
20EEE2EE86,1,분식
20EF59F929,1,한식-단품요리일반
21348D6015,2,카페
21373CB273,0,카페
2143174547,0,카페
216431492C,0,한식-육류/고기
216590EA3B,1,백반/가정식
21752D89FB,1,건강식품
21A130787D,2,카페
21B52E1F0F,2,카페
21B58D4396,0,식료품
21BA47CF6E,3,한식-국밥/설렁탕
21C4BDD140,2,한식-국밥/설렁탕
21ED3E83CA,0,식료품
222AB6560E,0,일식당
22323DD09C,1,일식당
22472FE723,0,한식-국수/만두
224AE94A24,2,백반/가정식
224FBAD80C,1,베이커리
2257171AD9,0,한식-국밥/설렁탕
225DC4C12C,2,카페
2265D9F8B3,1,한식-육류/고기
228EDD81BA,3,한식-국수/만두
229E67841F,3,한식-해물/생선
22AE6306D0,1,주류
22B7683FF6,3,일식당
22BDEE04F4,1,축산물
22EA4127C0,1,요리주점
231E0650F8,1,중식당
2324CB55B4,1,한식-단품요리일반
2344622681,2,한식-해물/생선
234A71B7B5,0,일식-덮밥/돈가스
235801F5F3,3,일식당
2358FEB402,2,축산물
235958D75C,1,한식-해물/생선
235FF4ABE1,1,한식-해물/생선
237D0C814D,2,한식-단품요리일반
2381F744F1,0,한식-육류/고기
239818D1A0,3,한식-찌개/전골
239B67CD70,3,일식-초밥/롤
23A7CC4CFE,2,축산물
23B2C0A1ED,2,중식당
23B2E3C466,2,한식-육류/고기
23B6250706,0,백반/가정식
23D471DB19,1,한식-육류/고기
23D97A4475,2,백반/가정식
23E72E19E5,1,한식-해물/생선
23E87CC0C5,2,축산물
23F50506A9,1,한식-단품요리일반
2402B1EA00,1,백반/가정식
2403DDB210,1,양식
241A9CFA07,1,수산물
242ECF834A,2,한식-육류/고기
243EFCA58C,1,한식-육류/고기
2445E4D19D,2,카페
244740AC40,0,분식
245B7B99B2,3,피자
2477DC6A37,2,청과물
2485494277,2,카페
248ED10705,1,이자카야
249C65ED4B,2,호프/맥주
24AA9CA0A5,3,중식당
24B47BE5E4,1,아이스크림/빙수
24CE0F822B,1,양식
24D8120756,3,한식-육류/고기
24F5384BB4,1,카페
25100A92DC,1,한식-육류/고기
252CF56BC1,1,피자
2540E29770,1,백반/가정식
2541119B6A,1,한식-단품요리일반
255821302B,2,커피전문점
255EEC201D,0,한식-찌개/전골
256B5CE947,2,분식
257C2B26D3,3,요리주점
259546987D,1,백반/가정식
259A1E16FE,1,식료품
259AFDA5D8,1,피자
25B296A614,0,축산물
25B2D74E6B,0,치킨
25B32948C5,3,카페
25B6936E82,3,식료품
25CB7FE229,1,한식-단품요리일반
25D2E98F3A,1,한식-단품요리일반
25D5913CB4,2,양식
25E23A7190,2,식료품
25FA6C0D0D,2,피자
26034FF5B2,3,백반/가정식
2604CC295C,3,분식
260F71BF9B,3,기타세계요리
261CA88AD3,1,축산물
2637B87ECB,0,청과물
263A2454D1,0,호프/맥주
266F94FF9C,0,한식-단품요리일반
268A868E38,1,카페
26ACE594E8,2,카페
26B2585C88,3,베이커리
26D174D6A5,1,한식-육류/고기
26DA5D7B15,0,룸살롱/단란주점
26DE9DB5A2,2,한식-단품요리일반
26EBEEFD0A,3,축산물
26F68BFF02,2,한식-육류/고기
26FAE231DB,1,베이커리
2716FFD10A,2,커피전문점
2743897872,2,요리주점
274F7C9F52,2,커피전문점
276A8846C9,1,백반/가정식
27751D8C2E,2,분식
278EA7FDDE,1,중식당
2791AA9D19,1,호프/맥주
2791AFFA12,1,호프/맥주
279E4BE602,1,백반/가정식
27BA4A6AFF,0,한식-육류/고기
27C88660A5,2,중식당
27F2AD0786,1,한식-육류/고기
2816E24ED9,0,한식-육류/고기
281CA527F1,2,축산물
281D5B3CBD,1,축산물
282DE0EEF4,3,한식-육류/고기
2831DB3C04,3,아이스크림/빙수
283E6BD7FF,3,한식-국수/만두
2858CD7B1D,1,식품 제조
285AE413AF,1,양식
28616F2CED,1,중식당
28718E3BF1,2,호프/맥주
2889D57BC9,1,식품 제조
289F79B6BC,2,한식-단품요리일반
289FECEDF1,0,축산물
28A86E02D8,2,한식-육류/고기
28B588EEB5,3,한식-육류/고기
28BE1401AB,2,백반/가정식
28CF1EBDA2,0,한식-국밥/설렁탕
28DC0855AC,2,카페
28DEFF1F60,3,이자카야
28EA223BD1,3,축산물
28F229AEF2,1,분식
2910BEDA4D,2,한식-단품요리일반
291A30DB5B,3,치킨
291BA8B14B,2,한식-국밥/설렁탕
292FD26A79,0,분식
293EA4B2A0,3,분식
2.94E+13,0,일식-덮밥/돈가스
294C67ABA5,0,한식-단품요리일반
295F1DE887,3,한식-국밥/설렁탕
295F86E07D,0,일식-우동/소바/라면
296E11B196,1,와인샵
297AE548DB,2,한식-단품요리일반
297CF99623,1,백반/가정식
2996AB4D5A,3,양식
29B5BE80D4,1,한식-육류/고기
29BB814FD2,2,미곡상
29F6BB77B3,1,요리주점
2A0922EAA7,1,한식-찌개/전골
2A28E1D01A,2,한식-육류/고기
2A46B78747,1,축산물
2A4B681277,1,양식
2A4DAD9E0E,2,한식-단품요리일반
2A6D92878C,1,백반/가정식
2A74299DD1,1,치킨
2A9CD599EF,1,한식-단품요리일반
2AB52AC101,1,한식-육류/고기
2ABC68FBCD,3,한식-단품요리일반
2AD96F80A2,1,양식
2AECA02B3A,1,축산물
2AF934A41E,1,카페
2B06E192A3,2,마카롱
2B0A1A657D,2,일식당
2B2AD47693,3,한식-찌개/전골
2B2AF25A23,1,인삼제품
2B2CDD8A48,1,축산물
2B355A80CB,1,한식-육류/고기
2B60980E98,2,베이커리
2B88E8F026,0,양식
2B89D787CB,0,중식당
2B9B91BE0C,2,일식-샤브샤브
2BB4EF9F37,1,일식당
2BBA95E499,2,한식-육류/고기
2BE371C2DE,3,카페
2BE8E6A10C,1,식료품
2BF66155BC,0,카페
2BFD9CB05E,3,백반/가정식
2C11204E23,2,포장마차
2C1B90C392,2,한식-단품요리일반
2C264531BC,0,한식-육류/고기
2C2BF9EB44,2,카페
2C4B01EA60,0,한식-육류/고기
2C6E1775F4,1,한식-육류/고기
2C72D19DB4,0,커피전문점
2C8DAA2BF9,2,카페
2CA32048EF,1,떡/한과 제조
2CB43F0D78,2,한식-단품요리일반
2CC6C6DCC3,1,베이커리
2CC7A59E1B,0,일반 유흥주점
2CEF80C971,2,아이스크림/빙수
2CF63CC8AA,1,카페
2CFE1C6776,3,와인바
2D0E5434C1,2,한식-국수/만두
2D1CF66EC7,2,한식-육류/고기
2D1F5F9F5F,0,치킨
2D2C0E00E6,2,한식-국밥/설렁탕
2D3C8D6F8A,0,한식-육류/고기
2D42F25855,1,탕후루
2D4E9106EA,0,농산물
2D56DC79C1,2,치킨
2D732BFF98,1,축산물
2D7E5C7167,2,백반/가정식
2D7EEFFB71,2,일식당
2D9247837A,0,분식
2D92AEB068,1,피자
2D948AFFC9,1,한식-단품요리일반
2D956479FE,2,치킨
2D9601ED38,1,포장마차
2DAF105D58,2,한식-해물/생선
2DCB06D5D5,2,분식
2DCC4A585C,0,한식-단품요리일반
2DD4A5D048,3,기타세계요리
2DF77932A4,2,분식
2E0CA58847,2,한식-단품요리일반
2E11392CA8,0,축산물
2E13DF4A8E,0,한식-국밥/설렁탕
2E234CD1DD,0,한식-단품요리일반
2E344F415F,3,양식
2E4264DFBD,2,치킨
2E4C72C286,1,한식-육류/고기
2E4CDEA048,3,카페
2E56C71323,1,축산물
2E5E8F46A2,2,커피전문점
2E8B2318F2,1,카페
2EA62B1198,0,한식-단품요리일반
2EAE67C0B4,3,카페
2EBD1956DE,2,분식
2EDD8317FA,2,한식-육류/고기
2EE7676921,1,백반/가정식
2EEFCB2C63,3,아이스크림/빙수
2EF97A568C,2,한식-단품요리일반
2F190FBDCA,3,카페
2F255C75E1,1,한식-국밥/설렁탕
2F2BBD5117,0,커피전문점
2F35E163EB,0,한식-육류/고기
2F44EA8AEB,3,백반/가정식
2F4B0C323E,3,한식-육류/고기
2F5708B372,2,식료품
2F63B0EE20,0,한식-육류/고기
2FB0335820,1,와인바
2FB475D73E,2,카페
2FC5FFC0AA,0,꼬치구이
2FC6C4F505,1,건강원
2FC958A309,3,양식
2FE9A7B0B7,1,한식-단품요리일반
2FEF6803AC,2,한식-육류/고기
2FF80BC960,2,카페
302563C7F4,3,한식-육류/고기
30262EF19E,0,카페
3046541AF9,2,분식
304DF7C3D2,3,카페
305E16DCD0,2,중식당
305F8B41E8,2,한식-육류/고기
30602E70F0,1,한식-단품요리일반
30623F3257,0,카페
3074DF0C17,2,일식당
307DBEB4EC,2,한식-육류/고기
308272D87D,1,한식-단품요리일반
30888E19A2,0,한식-단품요리일반
309BDE407B,2,카페
30A3576891,2,아이스크림/빙수
30A5227B23,1,축산물
30A93020E1,1,백반/가정식
30BB73F860,3,치킨
30CACD815B,0,축산물
30D877AA68,1,분식
30EBD20CBF,1,백반/가정식
310CE87EE4,2,중식당
310D618597,1,축산물
3114F5BFDA,2,인삼제품
3115CB8448,1,카페
312F1E6B7B,2,카페
31366725DB,2,한식-육류/고기
3147BE76FA,0,중식-훠궈/마라탕
314D411B19,2,치킨
314D6B5043,0,한식-육류/고기
317594F27F,2,한식-해물/생선
3181D01F3F,1,담배
3183771CC5,3,한식-국수/만두
3185CC12C8,1,축산물
319880C87E,1,축산물
319DABE70F,2,백반/가정식
31AED9557A,1,축산물
31DE46AC2D,1,떡/한과 제조
31EC330DC9,0,백반/가정식
31F3C37515,2,한식-찌개/전골
31F9AECFCC,1,한식-국수/만두
320A02A60D,3,한식-육류/고기
3227432B79,3,양식
32425BE27F,2,양식
3245B9475F,2,일식-초밥/롤
32514851CD,1,카페
327194B461,1,일식당
3291FF9C92,1,식료품
3298DAD0FE,0,중식당
32A19D6A82,1,베이커리
32B3B5A4E4,3,일식-우동/소바/라면
32C35D2846,3,아이스크림/빙수
32F21633BE,2,한식-단품요리일반
3316D1C001,0,한식뷔페
33361C935B,2,한식-국수/만두
335B38273C,3,카페
33630D7FC6,2,한식-단품요리일반
33706FFD69,1,카페
338FA09E06,1,요리주점
33B68F414D,2,식료품
33C513E513,0,커피전문점
33CEE3F3AA,1,양식
33E070A5FE,0,청과물
33E3AC210C,3,요리주점
